vehicle_model,market,specs,market_index_url
RS4 Avant quattro,RS4-BR,1,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs4-avant-quattro/rs4-br
RS4 quattro,RS4-BR,1,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs4-quattro/rs4-br
Q3,AQ3-BR,2,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/q3/aq3-br
RS6 plus Avant quattro,RS6-BR,3,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs6-plus-avant-quattro/rs6-br
RS6 quattro,RS6-BR,3,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs6-quattro/rs6-br
RS3 Sportback,RS3-BR,4,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs3-sportback/rs3-br
RS3 Sportback/Lim.,RS3-BR,4,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs3-sportback-lim/rs3-br
RSQ3,RSQ3-BR,5,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rsq3/rsq3-br
RSQ3 Sportback,RSQ3-BR,5,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rsq3-sportback/rsq3-br
RS7 Sportback,RS7-BR,8,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/rs7-sportback/rs7-br
A6 Allroad,A6AR-BR,12,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a6-allroad/a6ar-br
A6 Allroad quattro,A6AR-BR,12,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a6-allroad-quattro/a6ar-br
TTRS Coupe/Roadster,TTRS-BR,14,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/ttrs-coupe-roadster/ttrs-br
Q8,AQ8-BR,27,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/q8/aq8-br
A3,AA3-BR,28,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a3/aa3-br
A5/S5 Cabriolet,A5CA-BR,35,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a5-s5-cabriolet/a5ca-br
R8 Spyder,R8-BR,66,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/r8-spyder/r8-br
A7 Sportback,A7-BR,67,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a7-sportback/a7-br
Q7,AQ7-BR,96,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/q7/aq7-br
A1,A1-BR,117,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a1/a1-br
A3 Cabriolet,A3CA-BR,122,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a3-cabriolet/a3ca-br
TT Coupe/Roadster,ATT-BR,135,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/tt-coupe-roadster/att-br
TT/TTS Coupe/Roadster,ATT-BR,135,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/tt-tts-coupe-roadster/att-br
A8/S8 quattro,A8Q-BR,164,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a8-s8-quattro/a8q-br
A6/S6 Avant quattro,A6Q-BR,439,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a6-s6-avant-quattro/a6q-br
A5/S5 Coupe/Sportback,A5CO-BR,454,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a5-s5-coupe-sportback/a5co-br
A4 Avant,A4-BR,895,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a4-avant/a4-br
A4/S4 Avant,A4Q-BR,895,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a4-s4-avant/a4q-br
A4/S4 Avant quattro,A4Q-BR,895,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a4-s4-avant-quattro/a4q-br
A3 Sportback,A3-BR,1178,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a3-sportback/a3-br
A3/S3 Sportback / Lim. quattro,A3-BR,1178,https://www.amayama.com/en/genuine-catalogs/epc/audi-overall/a3-s3-sportback-lim-quattro/a3-br
